count,level_uw,level,chg_uw,chg,occupation2_code,occupation2_label
6,0.2594758741690091,0.24932065505031756,0.23704325975208174,0.24862812188682668,-7, Not able to be determined
1,,0.0,,0.0,10, Managers
528,0.3059481310177253,0.29783317923593244,0.18611459575299533,0.20040135668152922,11," Chief Executives, General Managers and Legislators"
488,0.39864275096668994,0.44069402918853573,0.3065117703436694,0.3651408080463337,12, Farmers and Farm Managers
5780,0.2621767726216313,0.2645293917894705,0.19213889993641164,0.19319735385315137,13, Specialist Managers
2388,0.3484453102164027,0.34719718069430705,0.21986341478223678,0.22559936578457293,14," Hospitality, Retail and Service Managers"
28,0.7055510056470611,0.6594218078039006,0.3089451023122897,0.28552559661672494,20, Professionals
561,0.5153479481768546,0.5504715706449073,0.4100550192720232,0.5622571620750682,21, Arts and Media Professionals
4494,0.3265504019759395,0.33040276841291616,0.2498740639056928,0.255628172676614,22," Business, Human Resource and Marketing Professionals"
2985,0.3407831763038844,0.33411592927447376,0.26702334976278114,0.26809690126828456,23," Design, Engineering, Science and Transport Professionals"
7051,0.5290896530305756,0.5294144166282337,0.40977108260403156,0.4077410218442924,24, Education Professionals
4951,0.426904581395603,0.41731809489101146,0.3129825106141728,0.3081535853924125,25, Health Professionals
1756,0.2191408375896329,0.19715277400519582,0.18766865669446836,0.16895626130302274,26, ICT Professionals
2171,0.38006710911288133,0.3779628681039073,0.3015674920684914,0.30151419562051773,27," Legal, Social and Welfare Professionals"
11,0.16808638670135037,0.13168818982430594,0.12133708165263205,0.18798447447245895,30, Technicians and Trades Workers
1691,0.33661518055114886,0.3297732406680566,0.2149209987357071,0.2087810765123985,31," Engineering, ICT and Science Technicians"
2840,0.22992498762729274,0.22648992389205766,0.2256287497965666,0.22479063422590734,32, Automotive and Engineering Trades Workers
1754,0.21655318192245257,0.2128854235549187,0.2332228053495846,0.23781204008830858,33, Construction Trades Workers
1734,0.20854968060254225,0.2089385147591841,0.1966911485873051,0.19247814846620417,34, Electrotechnology and Telecommunications Trades Workers
921,0.4324187848081466,0.42035161666268495,0.35496032065687744,0.35797375154789635,35, Food Trades Workers
774,0.5146097016524894,0.5174065864043984,0.33799410295238624,0.3173280956060901,36, Skilled Animal and Horticultural Workers
1281,0.4248135387221018,0.4030610115078532,0.3494990047137631,0.31567700800417353,39, Other Technicians and Trades Workers
1488,0.40376471320428475,0.4084463003218686,0.2542096899303322,0.24620758281810254,41, Health and Welfare Support Workers
4137,0.48150557674831734,0.48397564210083854,0.39638205349441946,0.38522155541911995,42, Carers and Aides
1382,0.6326455206735424,0.6142771353171806,0.5193102183513036,0.48018992487796286,43, Hospitality Workers
1583,0.2750830269415389,0.27393337956050917,0.26180631086888745,0.2745638785089473,44, Protective Service Workers
1040,0.6768790208316906,0.6873222083451365,0.47296570274940863,0.4979471706518226,45, Sports and Personal Service Workers
1,,0.0,,0.0,50, Clerical and Administrative Workers
1272,0.37194759881346695,0.3807275093552447,0.24553219041684674,0.2627493428392831,51, Office Managers and Program Administrators
843,0.5344344665476497,0.5029333040381793,0.2597677674815942,0.259974612778069,52, Personal Assistants and Secretaries
931,0.49807927786462297,0.49828132359272714,0.386179805394076,0.35174322592114066,53, General Clerical Workers
1553,0.46380459242874444,0.4767377114297577,0.28775469919752256,0.2689266600982338,54, Inquiry Clerks and Receptionists
2289,0.4736337081238985,0.4831956124826248,0.3075302916792768,0.2960474868304597,55, Numerical Clerks
668,0.41709751524021416,0.39884423361256194,0.2997705378061167,0.2793018137948026,56, Clerical and Office Support Workers
1844,0.36646665679319734,0.36032019231259804,0.240777734727281,0.23087516707366235,59, Other Clerical and Administrative Workers
1,,0.0,,0.0,60, Sales Workers
1021,0.33244070142352716,0.3161654926612908,0.22703144955752746,0.21752143363075482,61, Sales Representatives and Agents
4265,0.6365834804706987,0.6308473939192991,0.4852465087359072,0.48660367851000985,62, Sales Assistants and Salespersons
887,0.6640406316230323,0.6641010849256287,0.4398417683400411,0.44261696472356943,63, Sales Support Workers
36,0.24744028357777265,0.23824724673839331,0.14908061693304792,0.12656605768341095,70, Machinery Operators and Drivers
1088,0.2832093214197789,0.2691584421993068,0.21637245750223041,0.23162011015142536,71, Machine and Stationary Plant Operators
776,0.25391613076252306,0.24041784909216266,0.2597724424037698,0.24519942809232362,72, Mobile Plant Operators
2149,0.38635087610165136,0.39394091488867977,0.2777343822231405,0.26349972691911216,73, Road and Rail Drivers
471,0.35778228379384414,0.3562084680846287,0.33379833843529666,0.32390259407317656,74, Storepersons
7,0.8776877671345722,0.7175532111330658,0.06891107113184897,0.06118632531190799,80, Labourers
1426,0.6158531459953148,0.5875082109824478,0.4735749327312446,0.46166502581178626,81, Cleaners and Laundry Workers
663,0.3222330004232792,0.3317807018192509,0.3296578120990595,0.3087292626681273,82, Construction and Mining Labourers
1210,0.3071798811040951,0.30938619034569664,0.2471972782149332,0.21113064549640942,83, Factory Process Workers
466,0.5052787316202219,0.5071916586960966,0.40006505105694934,0.38675108267299807,84," Farm, Forestry and Garden Workers"
808,0.6445474348510898,0.6366033420105344,0.44911863283268194,0.47488633194162444,85, Food Preparation Assistants
1134,0.6489278756050312,0.6188271209317894,0.40048455962262486,0.3766541137293811,89, Other Labourers
